x_label;factor
0;15708480.473555105
1;2849230.960767056
2;1131173.0895533424
3;1007934.6295966145
4;474234.57542468887
5;410470.5650752789
6;255810.997655046
7;261309.0034967978
8;260947.071082032
9;295790.56523025717
10;78545.03083388836
11;59712.35078448586
12;71522.46632462136
13;86055.54603556247
14;186873.49264794358
15;24137.395355374356
16;32441.803551956018
17;54832.86892958864
18;32384.499750728417
19;31167.630145521445
20;25767.21846301246
21;17787.425805722633
22;10143.13703456961
23;54373.47591167896
24;13471.41202878889
25;8822.216698451944
26;11783.367633297521
27;76171.07315141258
28;93637.05717636803
29;1193.352485339781
30;4008.5622476071753
31;889.5966799579721
32;1852.9280945812518
33;314.03382035964063
34;764.9063293833418
35;465.2501539325877
36;65.59790069116642
37;448.1243765703316
38;105.01873908358493
39;909.9846061333945
40;2428.8813931147774
41;10.880594288506545
42;10.504333383167996
43;2.701681147480366
44;0.0004953879858771274
45;0.1916497844878648
46;0.0001283727740575021
47;-294685.72685730754
48;-212600.7773502609
49;-448697.67482308066
