x_label;factor
0;1943943.6750082232
1;4442222.440728865
2;7321373.110785774
3;10518755.02590886
4;12754996.231416387
5;14736449.51854111
6;18236083.939393416
7;20334917.67594939
8;23685347.0258988
9;26370204.294971295
10;26794451.40532097
11;31096905.035401795
12;33377665.563875984
13;33320042.916997775
14;35032532.11498921
15;30341077.292401336
16;33664946.825368464
17;34865187.57067451
18;32149785.22933302
19;32738306.221698117
20;34370644.916695714
21;34136488.09801755
22;30740419.010501422
23;32660132.382376444
24;31307742.12309711
25;30908976.46948086
26;27951194.286728416
27;28013757.138409592
28;27970641.611962665
29;25688470.34047086
30;26383779.5906003
31;25736341.877552673
32;24656669.873328876
33;24332560.38415427
34;24027512.031804223
35;24513606.01405039
36;22858476.478088167
37;21689246.716370717
38;20776852.010218974
39;20230113.330476593
40;19507775.85653147
41;18629523.450004913
42;19373484.466797207
43;19034238.004730124
44;17781814.498970345
45;17066669.549811374
46;16973965.88695734
47;16904598.92344152
48;16234357.857776385
49;15451136.38487407
50;15238906.086066678
51;14731063.992663026
52;14536489.666809822
53;14292949.337379297
54;13853872.160036903
55;13425499.521174163
56;12936978.234038724
57;12161799.638615789
58;12587418.253615908
59;11962734.740061015
60;11278836.795446757
61;11374964.927136134
62;11448173.207142172
63;10856937.057584299
64;10430156.817341665
65;9934176.256033465
66;9865231.230311148
67;9969258.672953177
68;9187419.538270319
69;8911713.794820013
70;8636257.740068847
71;8291145.818592711
72;8175991.662744965
73;7973410.056100064
74;7776988.077835855
75;7664475.896020561
76;7291860.010312159
77;7155088.781577938
78;7133141.78953507
79;6738305.796318674
80;6943452.250376466
81;6546071.283094614
82;6462315.729105042
83;6250141.680146386
84;6282029.93298111
85;6065626.308593851
86;5955569.199031701
87;5925415.806789743
88;5621797.034600956
89;5529699.686193267
90;5304206.122426207
91;5257852.177904651
92;5117898.615544722
93;4790397.86829532
94;4939967.393522251
95;4669837.481512595
96;4469885.45228288
97;4511669.9985604845
98;4209668.694900752
99;4087084.318106665
100;4131411.5987392482
101;4044294.3071475783
102;4104324.134666528
103;3905776.3039689735
104;3860506.572523968
105;3795782.345264404
106;3636739.608313767
107;3662394.879589423
