x_label;exponent
0;-0.1948084182676718
1;-0.9822582778448291
2;-0.9852759925941842
3;-0.9975319261856639
4;-0.987261682853244
5;-0.9791646021413237
6;-0.977325786290302
7;-0.9575511923596263
8;-0.9464267641019511
9;-0.966189136279559
10;-0.9368384792640153
11;-0.9734813070311498
12;-0.9584792833164367
13;-0.9327425315624487
14;-0.9227056827407889
15;-0.8528741181836491
16;-0.8545331338252039
17;-0.852008426271425
18;-0.7929091413756578
19;-0.7916932456855015
20;-0.8010530782717059
21;-0.7734086337636034
22;-0.721731822963109
23;-0.7216125617449917
24;-0.7128346414990409
25;-0.6917153581967926
26;-0.6497350052480325
27;-0.6500799726511757
28;-0.62194141127017
29;-0.603065301822445
30;-0.598374732587743
31;-0.5862015760196423
32;-0.5642551133680889
33;-0.5618615059052228
34;-0.5642113175547597
35;-0.5462331861871358
36;-0.5315433555657543
37;-0.49815241074700245
38;-0.4991793828502381
39;-0.48778317798985527
40;-0.4698756830409205
41;-0.46064559155178575
42;-0.45663995373383076
43;-0.4363787924376767
44;-0.43344174383224665
45;-0.4236106059796991
46;-0.4148323514392919
47;-0.41587612241179756
48;-0.39868500533581497
49;-0.39022638339926313
50;-0.37119806486303203
51;-0.378077252152344
52;-0.3587440215098475
53;-0.35379385675499503
54;-0.34214882536190916
55;-0.34106807562872593
56;-0.33422757991298874
57;-0.31701425247894816
58;-0.3291066562235231
59;-0.31160869237830546
60;-0.2947600067831984
61;-0.2894986964962146
62;-0.29547100214844774
63;-0.28580966257089246
64;-0.2779114816152243
65;-0.27147697009128846
66;-0.261866551459761
67;-0.2602865408336098
68;-0.2309090803779836
69;-0.23237837487255952
70;-0.22368282962381245
71;-0.21576175743979087
72;-0.21068926170986393
73;-0.21546439079650712
74;-0.20188300131160672
75;-0.20224236143142854
76;-0.17534775423360782
77;-0.17116837922501935
78;-0.18237007325750876
79;-0.16673099328062724
80;-0.1787168534311079
81;-0.17899393891299073
82;-0.15384386285276114
83;-0.1485966781247484
84;-0.14926136892439712
85;-0.14236509682746595
86;-0.14480391141777244
87;-0.13791564334420237
88;-0.11867397270765997
89;-0.12269578177177255
90;-0.10789827541671587
91;-0.10323947399440148
92;-0.11132428091061136
93;-0.08740312188979832
94;-0.10463096258373286
95;-0.09175267259523469
96;-0.08167120055668732
97;-0.0773770387988626
98;-0.053624228369062873
99;-0.050942340920947134
100;-0.062150670763645714
101;-0.062084451090630884
102;-0.06351481593768699
103;-0.05699665289732485
104;-0.046411704793373566
105;-0.04130985276944144
106;-0.041780287246911435
107;-0.040610429995924055
108;-0.03434161115983025
109;-0.039072621096756334
110;-0.024103703817223907
111;-0.031061417044625228
112;-0.020959830493832925
113;-0.023268212793738332
114;-0.008446115290493264
115;-0.0027181563312047292
116;-0.00789304320703429
117;-0.00013270694194707238
118;-0.012007651398469356
119;-0.00893778019885852
120;-0.008416507413797441
121;-0.0016207789957810527
122;0.007898116056276086
123;0.011486533562855254
124;-0.006845107445850451
125;0.008074522924870885
126;0.013349345980699708
